S.No.,Class,Subcategory_id,URL,Focus Word,Examples,Members
1,9,put-9.1-2,https://verbs.colorado.edu/verb-index/vn/put-9.1.php,put,"['They put upon me a brilliant, red helm.']","['place', 'put', 'set', 'stick']"
2,9,put_spatial-9.2-1,https://verbs.colorado.edu/verb-index/vn/put_spatial-9.2.php,lean,['The books lean against the shelf.'],"['dangle', 'hang', 'lean', 'perch', 'rest', 'sit', 'stand', 'suspend']"
3,9,funnel-9.3,https://verbs.colorado.edu/verb-index/vn/funnel-9.3.php,funneled,['I funneled the mixture into the bottle.'],"['channelize', 'dip', 'dunk', 'hoe', 'ladle', 'scoop', 'siphon', 'sop']"
4,9,butter-9.9,https://verbs.colorado.edu/verb-index/vn/butter-9.9.php,buttered,['Lora buttered the toast with unsalted butter.'],"['aromatize', 'asphalt', 'bait', 'black', 'blanket', 'blindfold', 'board', 'bread', 'brick', 'bridle', 'bronze', 'butter', 'buttonhole', 'calk', 'camouflage', 'cap', 'carpet', 'caulk', 'chrome', 'clay', 'cloak', 'coal', 'cork', 'crown', 'crumb', 'diaper', 'dope', 'drug', 'feather', 'fence', 'flour', 'forest', 'frame', 'frost', 'fuel', 'gag', 'garland', 'gas', 'glass', 'glaze', 'glove', 'graffiti', 'grass', 'gravel', 'grease', 'groove', 'halter', 'harness', 'hat', 'heel', 'ice', 'ink', 'insulate', 'label', 'leash', 'leaven', 'lipstick', 'lubricate', 'mantle', 'mulch', 'muzzle', 'nickel', 'oil', 'ornament', 'paint', 'panel', 'paper', 'parquet', 'patch', 'pepper', 'perfume', 'plank', 'plaster', 'poison', 'polish', 'pomade', 'poster', 'postmark', 'powder', 'punctuate', 'putty', 'robe', 'roof', 'rosin', 'rouge', 'rut', 'saddle', 'salt', 'salve', 'sand', 'sauce', 'scent', 'seed', 'sequin', 'shawl', 'shingle', 'shoe', 'shutter', 'side', 'silver', 'slate', 'slime', 'slipcover', 'sod', 'soil', 'sole', 'spice', 'stain', 'starch', 'stopper', 'stress', 'string', 'stucco', 'sugar', 'sulphur', 'tag', 'tar', 'tarmac', 'tassel', 'thatch', 'ticket', 'tile', 'tinsel', 'top', 'turf', 'varnish', 'veil', 'veneer', 'wallpaper', 'water', 'wax', 'wharf', 'whitewash', 'wreathe', 'yoke', 'zipcode']"
5,9,pocket-9.10,https://verbs.colorado.edu/verb-index/vn/pocket-9.10.php,pocketed,['Lydia pocketed the change in her left pocket.'],"['archive', 'bag', 'bank', 'barrack', 'beach', 'bed', 'bench', 'billet', 'bin', 'bottle', 'box', 'cage', 'can', 'case', 'cellar', 'cloister', 'coop', 'corral', 'crate', 'cup', 'file', 'fork', 'garage', 'hangar', 'house', 'imprison', 'jail', 'jar', 'jug', 'kennel', 'pasture', 'pen', 'pillory', 'pocket', 'pot', 'sheathe', 'shelve', 'shoulder', 'skewer', 'snare', 'spindle', 'spit', 'spool', 'string', 'tassel', 'tin', 'trap', 'tree', 'warehouse', 'wharf']"
6,10,cheat-10.6-1,https://verbs.colorado.edu/verb-index/vn/cheat-10.6.php,bilked,['The swindler bilked 20 dollars from his boss.'],"['burgle', 'con', 'cozen', 'drain', 'ease', 'milk', 'mulct', 'plunder', 'swindle']"
7,10,pit-10.7,https://verbs.colorado.edu/verb-index/vn/pit-10.7.php,boned,['The cook boned the fish.'],"['bark', 'beard', 'bone', 'burl', 'core', 'gill', 'gut', 'head', 'hull', 'husk', 'lint', 'louse', 'milk', 'peel', 'pinion', 'pip', 'pit', 'pith', 'pod', 'poll', 'pulp', 'rind', 'scale', 'scalp', 'seed', 'shell', 'shuck', 'skin', 'snail', 'stalk', 'stem', 'stone', 'string', 'tail', 'tassel', 'vein', 'weed', 'wind', 'worm', 'zest']"
8,10,mine-10.9,https://verbs.colorado.edu/verb-index/vn/mine-10.9.php,mined,['The men mined the gold from the abandoned mine.'],"['mine', 'quarry']"
9,10,steal-10.5,https://verbs.colorado.edu/verb-index/vn/steal-10.5.php,stole,['The thief stole the paint from the museum.'],"['abduct', 'annex', 'cabbage', 'carjack', 'commandeer', 'confiscate', 'emancipate', 'embezzle', 'extort', 'filch', 'highjack', 'kidnap', 'knock_off', 'liberate', 'lift', 'misappropriate', 'nobble', 'pickpocket', 'pinch', 'plagiarize', 'purloin', 'recapture', 'reclaim', 'recoup', 'redeem', 'repossess', 'rescue', 'rustle', 'seize', 'sequester', 'snatch_away', 'take', 'thieve', 'weasel_out', 'wrest']"
10,11,send-11.1,https://verbs.colorado.edu/verb-index/vn/send-11.1.php,sent,[ 'Nora sent the book from Paris.'],"['convey', 'deliver', 'dispatch', 'export', 'handdeliver', 'import', 'pass_on', 'port', 'post', 'return', 'shift', 'shunt', 'transfer', 'transport', 'transship']"
11,11,slide-11.2-1,https://verbs.colorado.edu/verb-index/vn/slide-11.2.php,slid,['Carla slid John the books.'],"['bounce', 'dart', 'float', 'roll', 'slide']"
12,11,carry-11.4-1,https://verbs.colorado.edu/verb-index/vn/carry-11.4.php,shoved,['Amanda shoved the box from the corner.'],"['heave', 'kick', 'push', 'shove', 'thrust']"
13,11,carry-11.4,https://verbs.colorado.edu/verb-index/vn/carry-11.4.php,carried,['Amanda carried the package to New York.'],"['carry', 'drag', 'draw', 'haul', 'heft', 'hoist', 'lug', 'nudge', 'pull', 'run', 'schlep', 'tote', 'tow', 'tug', 'yank']"
14,12,push-12-1,https://verbs.colorado.edu/verb-index/vn/push-12.php,yanked,['Nora yanked the button loose.'],"['jerk', 'pull', 'tug', 'yank', 'jostle', 'nudge', 'press', 'push', 'shove', 'squeeze', 'thrust']"
15,13,future_having-13.3,https://verbs.colorado.edu/verb-index/vn/future_having-13.3.php,promised,['I promised my house (to somebody).'],"['accord', 'advance', 'allocate', 'allot', 'apportion', 'assign', 'award', 'bequeath', 'cede', 'concede', 'devolve', 'extend', 'grant', 'guarantee', 'issue', 'leave', 'offer', 'owe', 'portion', 'promise', 'ration', 'reallocate', 'reassign', 'vote', 'will', 'yield']"
16,13,fulfilling-13.4.1,https://verbs.colorado.edu/verb-index/vn/fulfilling-13.4.1.php,presented,['Brown presented Jones with a plaque.'],"['issue', 'leave', 'present', 'trust']"
17,13,equip-13.4.2-1-1,https://verbs.colorado.edu/verb-index/vn/equip-13.4.2.php,burdened,['The huge load burdened the mule.'],"['armor', 'burden', 'compensate', 'encumber', 'fortify', 'overburden', 'weight']"
18,13,obtain-13.5.2,https://verbs.colorado.edu/verb-index/vn/obtain-13.5.2.php,obtained,['Carmen obtained the spare part from Diana.'],"['accept', 'accrue', 'accumulate', 'appropriate', 'arrogate', 'borrow', 'cadge', 'collect', 'commandeer', 'exact', 'grab', 'inherit', 'receive', 'recoup', 'recover', 'regain', 'retrieve', 'seize', 'select', 'snatch', 'source', 'subselect']"
19,13,berry-13.7,https://verbs.colorado.edu/verb-index/vn/berry-13.7.php,berry,['The children berry in the summer.'],"['antique', 'berry', 'birdnest', 'blackberry', 'clam', 'crab', 'fish', 'fowl', 'grouse', 'hawk', 'hay', 'log', 'mushroom', 'nest', 'nut', 'oyster', 'pearl', 'prawn', 'rabbit', 'scollop', 'seal', 'shark', 'shrimp', 'snail', 'snipe', 'sponge', 'whale', 'whelk', 'whore']"
20,13,contribute-13.2,https://verbs.colorado.edu/verb-index/vn/contribute-13.2.php,donated,['I donated my house (to somebody).'],"['abnegate', 'betroth', 'forgo', 'gift', 'hand_out', 'lose', 'pass_out', 'refer', 'relinquish', 'remit', 'resign', 'restore', 'shell_out']"
21,13,give-13.1,https://verbs.colorado.edu/verb-index/vn/give-13.1.php,lent,['They lent a bicycle to me.'],"['deal', 'lend', 'loan', 'pass', 'peddle', 'refund', 'render']"
22,13,fulfilling-13.4.1-1,https://verbs.colorado.edu/verb-index/vn/fulfilling-13.4.1.php,supplied,['Hess supplied its customers.'],"['credit', 'entrust', 'furnish', 'resupply', 'serve', 'supply']"
23,14,learn-14-2-1,https://verbs.colorado.edu/verb-index/vn/learn-14.php,learned,['The president learned of a coup plot that might endanger his life.'],"['assimilate', 'learn', 'read']"
24,16,concealment-16,https://verbs.colorado.edu/verb-index/vn/concealment-16.php,hid,['Frances hid the presents from Sally.'],"['block', 'cloister', 'conceal', 'curtain', 'impound', 'isolate', 'quarantine', 'repress', 'screen', 'seclude', 'sequester', 'shelter', 'suppress']"
